Name,Type,Popularity,Price,Rating
"Quinta do Vallado Adelaide Tributa Port, Portugal",Port Blend Red,"139,464th","CA$ 4,070",96 / 100
"H.M Borges Terrantez 'T' Vintage, Madeira, Portugal",Terrantez,"17,044th","CA$ 3,898",93 / 100
"J. S. Terrantez, Madeira, Portugal",Terrantez,"25,833rd","CA$ 3,278",90 / 100
"Niepoort V V Old Tawny Port, Portugal",Port Blend Red,"52,592nd","CA$ 2,721",97 / 100
"Ferreira Garrafeira Port, Oporto, Portugal",Port Blend Red,"26,091st","CA$ 2,287",95 / 100
"Henriques & Henriques Founders Solera, Madeira, Portugal",Malvasia,"67,180th","CA$ 2,129",96 / 100
"Wine & Soul '5G' Five Generations Port, Portugal",Port Blend Red,"89,595th","CA$ 2,054",97 / 100
"D'Oliveiras Moscatel Reserva Vintage, Madeira, Portugal",Muscat,"20,930th","CA$ 2,004",93 / 100
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,572nd,"CA$ 1,833",97 / 100
"Henriques & Henriques Verdelho Solera, Madeira, Portugal",Verdelho,"44,958th","CA$ 1,781",94 / 100
"Henriques & Henriques Century Solera Malmsey, Madeira, Portugal",Malvasia,"57,530th","CA$ 1,769",96 / 100
"Kopke CNK Special Anniversary 380 Very Old Tawny Port, Portugal",Port Blend Red,"109,506th","CA$ 1,758",96 / 100
"D'Oliveiras Bastardo Reserva, Madeira, Portugal",Trousseau (Bastardo),"34,507th","CA$ 1,634",91 / 100
"Barbeito MBV Malvasia, Madeira, Portugal",Malvasia,"29,060th","CA$ 1,516",
"Taylor Fladgate Very Very Old Port, Portugal",Port Blend Red,"52,592nd","CA$ 1,445",95 / 100
"Constantino's Colheita Port, Portugal",Port Blend Red,"44,958th","CA$ 1,444",
